accession,model,latitude,longitude,place,execution_time
SAMN21498129,llama3.1:8b,,,NA,18.49
SAMN14327956,llama3.1:8b,42.2942142,-83.7100389,University of Michigan,2.37
SAMN08032533,llama3.1:8b,,,NA,4.64
SAMN02688369,llama3.1:8b,,,NA,50.06
SAMEA7280954,llama3.1:8b,,,NA,10.46
SAMEA6841538,llama3.1:8b,,,NA,8.94
SAMN27067961,llama3.1:8b,,,NA,11.82
SAMN29164184,llama3.1:8b,-6.8699697,-75.0458515,Peru,3.14
SAMN33419191,llama3.1:8b,,,NA,9.61
SAMN35154235,llama3.1:8b,,,NA,9.69
SAMEA6018323,llama3.1:8b,,,NA,9.47
SAMEA111501186,llama3.1:8b,,,NA,4.44
SAMN07821191,llama3.1:8b,,,NA,4.76
SAMEA104420194,llama3.1:8b,,,NA,16.27
SAMEA112805924,llama3.1:8b,,,NA,50.03
SAMEA104446808,llama3.1:8b,,,NA,8.44
SAMN19761294,llama3.1:8b,,,NA,5.91
SAMN21498129,gpt-oss:20b,23.1357694,113.1982688,"Guangdong, China",4.27
SAMN14327956,gpt-oss:20b,,,NA,2.41
SAMN38737700,gpt-oss:20b,,,NA,2.09
SAMN02688369,gpt-oss:20b,40.7474784,-92.3965311,"Davis, USA",13.97
SAMEA7280954,gpt-oss:20b,44.3599167,5.1302223,"44.3599167,5.1302223",9.96
SAMEA6841538,gpt-oss:20b,,,NA,2.45
SAMN27067961,gpt-oss:20b,-20.2759451,57.5703566,Mauritius,3.59
SAMN29164184,gpt-oss:20b,31.1041526,77.1709729,"Shimla, India",11.26
SAMN33419191,gpt-oss:20b,43.6211955,-84.6824346,"Michigan, USA",4.99
SAMN35154235,gpt-oss:20b,,,NA,2.27
SAMEA6018323,gpt-oss:20b,19.8934333333333,131.480216666667,"19.8934333333333,131.480216666667",4.33
SAMEA111501186,gpt-oss:20b,78.7508,33.9978,"78.7508,33.9978",4.34
SAMN07821191,gpt-oss:20b,41.8026095,123.4279105,"Shenyang, China",4.99
SAMEA104420194,gpt-oss:20b,,,NA,2.28
SAMEA112805924,gpt-oss:20b,,,NA,2.28
SAMEA104446808,gpt-oss:20b,22.13,117.46,"22.13,117.46",4.34
SAMN19761294,gpt-oss:20b,,,NA,1.75
SAMN31284615,gpt-oss:20b,,,NA,2.30
SAMN21498129,qwen3:8b,23.1357694,113.1982688,"Guangdong, China",38.87
SAMN14327956,qwen3:8b,,,NA,5.81
