accession,model,pred_lat,pred_lon,exp_lat,exp_lon,distance_km,category
SAMN21498129,gpt-oss:20b,23.1357694,113.1982688,23.0195072,113.4100461,25.228140275741296,TP
SAMN14327956,gpt-oss:20b,,,42.27756,-83.74088,,FP
SAMN38737700,gpt-oss:20b,,,32.887025,-117.245792,,FP
SAMN08032533,gpt-oss:20b,-0.0021127,30.2306645,0.0169184,30.0861224,16.21106137227327,TP
SAMN02688369,gpt-oss:20b,,,38.5402589,-121.7473923,,FP
SAMEA7280954,gpt-oss:20b,44.3599167,5.1302223,44.3611931,5.1408743,0.8586377067466328,TP
SAMEA6841538,gpt-oss:20b,,,52.205118,0.116208,,FP
SAMN27067961,gpt-oss:20b,-20.2759451,57.5703566,-20.2759451,57.5703566,,TP
SAMN29164184,gpt-oss:20b,-6.8699697,-75.0458515,-6.8699697,-75.0458515,,TP
SAMN33419191,gpt-oss:20b,,,42.27618408203125,-83.74134063720703,,FP
SAMN35154235,gpt-oss:20b,,,4.099917,-72.9088133,,FP
SAMEA6018323,gpt-oss:20b,19.8934333333333,131.480216666667,19.8934333333333,131.480216666667,,TP
SAMEA111501186,gpt-oss:20b,78.7508,33.9978,78.7508,33.9978,,TP
SAMN07821191,gpt-oss:20b,41.8026095,123.4279105,41.7716892,123.4215018,3.4789957372920886,TP
SAMEA104420194,gpt-oss:20b,,,,,,FP
SAMEA112805924,gpt-oss:20b,,,,,,FP
SAMEA104446808,gpt-oss:20b,22.13,117.46,22.13,117.46,,TP
SAMN19761294,gpt-oss:20b,,,36.321093,120.396483,,FP
SAMN31284615,gpt-oss:20b,,,32.887025,-117.245792,,FP
SAMN21498129,llama3.1:8b,23.1357694,113.1982688,23.0195072,113.4100461,25.228140275741296,TP
SAMN14327956,llama3.1:8b,45.8227006,16.0233697,42.27756,-83.74088,7420.334222738658,FP
SAMN14327956,llama3.1:8b,39.7837304,-100.445882,42.27756,-83.74088,1425.9420717011394,FP
SAMN38737700,llama3.1:8b,,,32.887025,-117.245792,,FP
SAMN08032533,llama3.1:8b,43.425996,-73.712425,0.0169184,30.0861224,11115.410398157703,FP
SAMN02688369,llama3.1:8b,38.5337904,-121.7907544,38.5402589,-121.7473923,3.8394914325757097,TP
SAMEA7280954,llama3.1:8b,44.3611931,5.1408743,44.3611931,5.1408743,,TP
SAMEA6841538,llama3.1:8b,52.2055314,0.1186637,52.205118,0.116208,0.173539997780799,TP
SAMN27067961,llama3.1:8b,-20.2759451,57.5703566,-20.2759451,57.5703566,,TP
SAMN29164184,llama3.1:8b,-6.8699697,-75.0458515,-6.8699697,-75.0458515,,TP
SAMN33419191,llama3.1:8b,47.4627879,4.5035826,42.27618408203125,-83.74134063720703,6590.505306576736,FP
SAMN35154235,llama3.1:8b,,,4.099917,-72.9088133,,FP
SAMEA6018323,llama3.1:8b,,,19.8934333333333,131.480216666667,,FP
SAMEA111501186,llama3.1:8b,,,78.7508,33.9978,,FP
SAMN07821191,llama3.1:8b,41.8026095,123.4279105,41.7716892,123.4215018,3.4789957372920886,TP
SAMEA104420194,llama3.1:8b,,,,,,FP
SAMEA112805924,llama3.1:8b,,,,,,FP
SAMEA112805924,llama3.1:8b,,,,,,FP
SAMEA104446808,llama3.1:8b,24.4984741,118.1276815,22.13,117.46,272.0427826122969,FP
SAMN19761294,llama3.1:8b,,,36.321093,120.396483,,FP
SAMN31284615,llama3.1:8b,,,32.887025,-117.245792,,FP
SAMN21498129,mistral-nemo:12b,,,23.0195072,113.4100461,,FP
SAMN14327956,mistral-nemo:12b,,,42.27756,-83.74088,,FP
SAMN38737700,mistral-nemo:12b,,,32.887025,-117.245792,,FP
SAMN08032533,mistral-nemo:12b,1.375,30.649,0.0169184,30.0861224,163.46619548471588,FP
SAMN02688369,mistral-nemo:12b,,,38.5402589,-121.7473923,,FP
SAMEA7280954,mistral-nemo:12b,44.359861,5.129667,44.3611931,5.1408743,0.9032013552396202,TP
SAMEA6841538,mistral-nemo:12b,,,52.205118,0.116208,,FP
SAMN27067961,mistral-nemo:12b,-20.3475,57.5521,-20.2759451,57.5703566,8.181139704485975,TP
SAMN29164184,mistral-nemo:12b,,,-6.8699697,-75.0458515,,FP
SAMN33419191,mistral-nemo:12b,,,42.27618408203125,-83.74134063720703,,FP
SAMN35154235,mistral-nemo:12b,,,4.099917,-72.9088133,,FP
SAMEA6018323,mistral-nemo:12b,19.8573466666666,-131.564673333333,19.8934333333333,131.480216666667,9953.466511456876,FP
SAMEA111501186,mistral-nemo:12b,78.7508,33.9978,78.7508,33.9978,,TP
SAMN07821191,mistral-nemo:12b,,,41.7716892,123.4215018,,FP
SAMEA104420194,mistral-nemo:12b,,,,,,FP
SAMEA112805924,mistral-nemo:12b,,,,,,FP
SAMEA104446808,mistral-nemo:12b,22.13,117.46,22.13,117.46,,TP
SAMN19761294,mistral-nemo:12b,,,36.321093,120.396483,,FP
SAMN31284615,mistral-nemo:12b,,,32.887025,-117.245792,,FP
