accession,model,latitude,longitude,place,execution_time
SAMN21498129,llama3.1:8b,23.1357694,113.1982688,Guangdong,11.55
SAMN14327956,llama3.1:8b,45.8227006,16.0233697,Homo sapiens,14.81
SAMN14327956,llama3.1:8b,39.7837304,-100.445882,United States of America,14.81
SAMN38737700,llama3.1:8b,,,,4.25
SAMN08032533,llama3.1:8b,43.425996,-73.712425,Lake George,3.84
SAMN02688369,llama3.1:8b,38.5337904,-121.7907544,University of California Davis,4.34
SAMEA7280954,llama3.1:8b,44.3611931,5.1408743,"Nyons, France",4.47
SAMEA6841538,llama3.1:8b,52.2055314,0.1186637,Cambridge,4.40
SAMN27067961,llama3.1:8b,-20.2759451,57.5703566,Mauritius,3.98
SAMN29164184,llama3.1:8b,-6.8699697,-75.0458515,Peru,3.42
SAMN33419191,llama3.1:8b,47.4627879,4.5035826,Brain,3.74
SAMN35154235,llama3.1:8b,,,,4.02
SAMEA6018323,llama3.1:8b,,,,5.83
SAMEA111501186,llama3.1:8b,,,,5.14
SAMN07821191,llama3.1:8b,41.8026095,123.4279105,Shenyang,3.30
SAMEA104420194,llama3.1:8b,,,,4.19
SAMEA112805924,llama3.1:8b,,,,9.92
SAMEA112805924,llama3.1:8b,,,,9.92
SAMEA104446808,llama3.1:8b,24.4984741,118.1276815,Taiwan street,4.63
SAMN19761294,llama3.1:8b,,,,3.11
SAMN31284615,llama3.1:8b,,,,3.87
