accession,model,latitude,longitude,place,execution_time
SAMN21498129,mistral-nemo:12b,,,NA,21.81
SAMN14327956,mistral-nemo:12b,,,NA,7.13
SAMN38737700,mistral-nemo:12b,,,NA,4.92
SAMN08032533,mistral-nemo:12b,1.375,30.649,,6.10
SAMN02688369,mistral-nemo:12b,,,NA,6.09
SAMEA7280954,mistral-nemo:12b,44.359861,5.129667,,6.17
SAMEA6841538,mistral-nemo:12b,,,NA,6.41
SAMN27067961,mistral-nemo:12b,-20.3475,57.5521,,6.01
SAMN29164184,mistral-nemo:12b,,,Peru,5.25
SAMN33419191,mistral-nemo:12b,,,NA,5.67
SAMN35154235,mistral-nemo:12b,,,not applicable,5.57
SAMEA6018323,mistral-nemo:12b,19.8573466666666,-131.564673333333,,9.25
SAMEA111501186,mistral-nemo:12b,78.7508,33.9978,,6.75
SAMN07821191,mistral-nemo:12b,,,NA,4.51
SAMEA104420194,mistral-nemo:12b,,,NA,5.18
SAMEA112805924,mistral-nemo:12b,,,NA,4.84
SAMEA104446808,mistral-nemo:12b,22.13,117.46,,7.30
SAMN19761294,mistral-nemo:12b,,,NA,5.00
SAMN31284615,mistral-nemo:12b,,,NA,5.04
